Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_FindTreatmentProvider_StandalonSearch,Chrome 66.0.3359.181,,2018-06-03 19:51:37,2018-06-03 19:51:53,15.949s,FAILED
,,,,,,
Test Cases/sublocadePatient,Chrome 66.0.3359.181,,2018-06-03 19:51:37,2018-06-03 19:51:53,15.473s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-06-03 19:51:38,2018-06-03 19:51:40,1.912s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-03 19:51:40,2018-06-03 19:51:44,3.935s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 19:51:44,2018-06-03 19:51:45,1.552s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-06-03 19:51:45,2018-06-03 19:51:46,0.659s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-03 19:51:46,2018-06-03 19:51:46,0.259s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 19:51:46,2018-06-03 19:51:46,0.172s,PASSED
executeJavaScript,Chrome 66.0.3359.181,,2018-06-03 19:51:46,2018-06-03 19:51:46,0.088s,PASSED
click,Chrome 66.0.3359.181,,2018-06-03 19:51:46,2018-06-03 19:51:50,3.676s,PASSED
waitForPageLoad,Chrome 66.0.3359.181,,2018-06-03 19:51:50,2018-06-03 19:51:50,0.107s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-06-03 19:51:50,2018-06-03 19:51:50,0.432s,FAILED
